Code,Description
1,Bijdrage Digging into Data
00000001,Bureau eScience (overhead)
00000002,Portfolio
00014001,DTL
27015G01,e-MUSC - Enhancing Multiscale Computing
27015G02,Algorithmic Geo-visualization: from Theory to Practice
27015G03,Towards Large-Scale Cloud-Resolving Climate Simulations
27015G04,What Works When for Whom?
27015G05,DynaSlum:Data Driven Modeling and Decision Support for Slums
27015G06,Enhancing protein-drug binding prediction
27015G07,Automated Parallel Calculation of Collaborative Stat Models
27015G08,iDark: The intelligent Dark Matter Survey
27015G09,AA-ALERT
27015S01,Error Detection and Localization for Radio Telescope SHM
27016G01,eECoLIDAR
27016G02,Emotion Recognition in Dementia
27016G03,Googling the cancer genome
27016G04,DeepRank: Scoring 3D protein
27016G05,DIRAC: Distributed Radio Astronomical Computing
27016G06,A methodology and ecosystem for many-core programming
27016G07,Accelerating Astronomical Applications 2 (Triple-A 2)
27016G08,Visual Storytelling of Big Imaging Data
27016P01,Fast open source simulator of low-energy scattering
27016P02,Towards a species-by-species approach to global biodiversity
27016P03,Data quality ina distributed learning environment
27016P04,Parallelisation of multi point-cloud registration
27016P05,Case Law Analytics
27016P06,Automated analysis of online behaviour on social media
27016P07,Data-mining tools for abrupt climate change
27016P09,3D printing of human body parts
27016S03,Software Analytics of the global impact of escience software
27016S04,High Spatial Resolution phenological modelling
27016S05,City Cloud: From the things to the cloud and back
27016S06,Autograph: Automated multi-scale Graph maipulation
27017F01,ewatercycle Il
27017G01,Integrated omics analysis
27017G03,Bridging the gap: Dig. Humanities the Arabic-Islamic corpus
27017G04,TICCLAT
27017G05,EviDENce: Ego Documents Events ModelliNg
27017G06,NEWSGAC:Advancing Media History by genre classification
27017G07,ADAH generalisation
27017G16,FEDMix
27017G18,SECCONNETSmart
27017G19,FAIR is as FAIR does
27017P01,Financial Network
27018P01,Tadpole - SHARE
27020S04,PuReGoMe
00202014,Phenology
11017001,KB Detachering Janneke
27000001,eSTeP
27000002,Business collaborations -vliegende keep
27000003,eSTEP 2016
27000004,eSTEP 2017
27011301,eAstronomy
27011302,eChemistry/Metabolite ID
27011303,eSALSA/eClimate
27011304,Biomarker Boosting/ Cognition
27011305,eEcology
27011306,Food Ontologies
27011307,VLBPII/Green Genetics
27011308,BiographyNed/eHumanities
27011309,Life Sciences/TraIT
27011310,eScience Technology
27011311,Water management/eWaterCycle
27012101,Massive Point Clouds for eSciences
27012102,eVisualization of Big Data
27012103,Summer in the City
27012104,SimCity
27012105,SPuDisc
27012901,eSiBayes
27012902,TwiNL
27012903,Distributed High-performance AMUSE
27012904,ODEXaAll
27012905,Extreme climate changes due to Collapse of the Warm Gulf Str
27013701,ABC-Muse
27013702,Jungle-Computing
27013703,Big Data Analytics in the Geo Spatial Domain
27013801,Dr. Watson
27013802,From sentiment to emotions
27013803,Beyond the book
27013804,HADRIANVS
27013805,PIDIMEHS
27013901,Mapping the Via Appia in 3D
27013902,Texcavator
27014201,3D-e-Chem
27014202,Computational chemistry made easy
27014203,ERA-URBAN
27014204,Prediction of Candidate genes for Traits
27014401,DIVE+
27014402,Visualising uncertainty and perspectives
27014501,A Lightpath for Optical Coherence Tomography imaging
27014502,Achieving Multidisciplinary High-Throughput
27014503,Recording history in large news streams
27014901,Platform for Chemical Data Analytics
27014902,DAS-5
27014903,DiLiPaD
27014904,Large Scale Data Assimilation-eWatercycle
27014905,RT-SAR
27014906,Massive Biological Data Clustering
27014907,Compressing the sky
27014908,Giving pandas a ROOT to chew on
27014909,Mining Shifting Concepts through time (ShiCo)
27015001,Detecting anomalous behaviour in the Amsterdam Arena
27015601,Enabling Dynamic Services
27015602,Diagnosis of active epilepsy in resource-poor setting
27015910,Improving Open-Source Photogrammetric Workflows
27015911,Real-time detection of neutrinos from the distant Universe
27018601C,EYRA Benchmark Platform
33013001,Flysafe 2
33013002,LifeWatch
33015001,From sentiment to emotions - Embodied emotions
33015002,Primavera
33015003,IndoDutch - Understanding Large Scale Human Mobility
33015004,ANDI-Advanced Neuropsychological Diagnostics Infrastructure
33016001,3D Geospatial Data Exploration for Modern Risk Management Systems
33016002,The Riddle of Litery Quality
33016003,UCL: Classifying activity types
33016004,Bird Avoidance System (BirdRadar)
33016005,TWEX Translating weather Extremes into the future
33016006,Blue-Action
33016007,VLPB-AVE2
33016008,Visualizing Uncertainty and Perspective Plus
33016009,MAGIC
33017001,Part 2- Classifying activity types
33017002,Genetics of sleep patterns
33017003,Mediasuite
33017004,GLAM-Visual Analytics for the world's Library Data
33017006,PROCESS
33018002,EOSCpilot
33018005,H2020 ESiWACE2
33019002,CORTEX
650001002,Expotree
650001003,Online Groups in organizations
650001005,Self Organizing Archives
